Car_Age,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,depreciation
4,5.59,2.7,1,0,1,0.40071556350626114
5,9.54,4.3,0,0,1,0.5020964360587001
1,9.85,0.69,1,0,1,0.2639593908629442
7,4.15,0.52,1,0,1,0.3132530120481928
4,6.87,4.245,0,0,1,0.3304221251819506
0,9.83,0.2071,0,0,1,0.05900305188199395
3,8.12,1.8796,1,0,1,0.16871921182266003
3,8.61,3.3429,0,0,1,0.24506387921022066
2,8.89,2.0273,0,0,1,0.015748031496063075
3,8.92,4.2367,0,0,1,0.16479820627802688
1,3.6,0.2135,1,0,1,0.20833333333333337
3,10.38,5.1,0,0,1,0.3400770712909442
3,9.94,1.5,1,0,0,0.24547283702213274
3,7.71,2.6,1,0,1,0.20881971465629057
9,7.21,7.7427,1,0,1,0.6879334257975034
2,10.79,4.3,0,0,1,0.2817423540315106
3,10.79,4.1678,0,0,1,0.32808155699721964
2,10.79,4.3,0,0,1,0.2817423540315106
8,7.98,4.1442,1,0,1,0.6679197994987469
2,3.95,2.5,1,0,1,0.2784810126582279
1,5.71,0.24,1,0,1,0.14185639229422065
7,8.01,5.0,1,0,0,0.45068664169787764
4,3.46,4.528,1,0,1,0.2774566473988439
5,4.41,5.6879,1,0,1,0.3424036281179139
7,4.99,2.0,1,0,1,0.3987975951903808
5,5.87,5.5138,1,0,1,0.293015332197615
1,6.49,1.62,1,1,1,0.07550077041602465
8,3.95,4.4542,1,0,1,0.5063291139240507
3,10.38,4.5,0,0,1,0.28227360308285165
6,5.98,5.1439,0,0,1,0.4816053511705686
7,4.89,5.42,1,0,1,0.5194274028629856
4,7.49,3.9,0,0,1,0.33911882510013347
4,9.95,4.5,0,0,1,0.3969849246231155
4,8.06,4.5,0,0,1,0.3176178660049628
3,7.2,4.8767,1,0,1,0.35416666666666663
15,2.28,12.7,1,1,1,0.8464912280701754
2,3.76,1.0079,1,0,1,0.202127659574468
15,7.98,6.2,1,0,1,0.7180451127819549
2,7.87,2.4524,1,0,0,0.2566709021601017
4,3.98,4.6706,1,0,1,0.35929648241206036
10,7.15,5.8,1,0,1,0.7272727272727273
4,8.06,4.578,0,0,1,0.3176178660049628
6,2.69,5.0,1,0,1,0.5353159851301115
4,12.04,1.5,1,0,0,0.37707641196013286
5,4.89,6.4532,1,0,1,0.4580777096114519
12,4.15,6.5,1,0,1,0.7469879518072289
3,7.71,2.587,1,0,1,0.24773022049286642
1,9.29,3.7,1,0,0,0.16576964477933254
6,30.61,10.4707,0,0,0,0.5132309702711533
3,30.61,4.0,0,0,0,0.24861156484808888
1,19.77,1.5,0,0,0,0.08952959028831564
5,30.61,13.5,0,1,0,0.47729500163345306
13,10.21,9.0,1,1,1,0.7306562193927522
9,15.04,7.0,1,0,0,0.7606382978723404
3,7.27,4.0534,1,0,1,0.38101788170563955
8,18.54,5.0,1,0,1,0.7437971952535058
4,6.8,3.9485,1,0,1,0.3970588235294118
4,35.96,4.1,0,0,0,0.44410456062291437
5,18.61,4.0001,1,0,1,0.6265448683503492
3,7.7,4.0588,1,0,1,0.4155844155844156
4,35.96,7.8,0,0,0,0.478587319243604
3,35.96,4.7,0,0,0,0.34649610678531706
1,36.23,0.6,0,0,0,0.08915263593706868
4,6.95,4.5,0,0,1,0.3165467625899281
1,23.15,1.1,1,0,0,0.14686825053995678
8,20.45,5.9,0,0,1,0.5476772616136919
7,13.74,8.8,1,0,1,0.6834061135371179
2,20.91,1.2,1,0,1,0.31850789096126253
4,6.76,7.1,0,0,1,0.415680473372781
7,12.48,4.5,0,0,1,0.6394230769230769
5,18.61,5.6001,1,0,1,0.599677592692101
7,5.71,4.3,1,0,1,0.5359019264448337
4,8.93,8.3,0,0,1,0.4512877939529675
3,6.8,3.6,1,0,1,0.4191176470588235
5,14.68,7.2,1,0,1,0.625340599455041
14,12.35,13.5154,1,0,0,0.8785425101214575
8,22.83,8.0,1,0,0,0.7700394218134035
6,30.61,8.9,0,0,0,0.5262985952303169
2,14.89,2.3,0,0,1,0.01074546675621224
3,7.85,4.0,0,0,1,0.39490445859872614
1,25.39,1.5,0,0,0,0.09413154785348565
3,13.46,3.8,0,0,1,0.07132243684992579
13,13.46,19.7176,0,0,1,0.7407132243684993
12,23.73,14.2,1,1,0,0.8946481247366203
8,92.6,7.8,0,0,1,0.6220302375809935
6,13.74,5.6,1,0,1,0.5705967976710334
5,6.05,4.7,1,0,1,0.4297520661157024
4,6.76,4.0,1,0,1,0.2973372781065089
9,18.61,6.2,1,0,1,0.7958087049973133
4,16.09,5.8242,0,0,1,0.3008079552517091
13,13.7,7.5,1,0,1,0.7437956204379562
3,30.61,4.0,0,0,0,0.24861156484808888
10,22.78,8.9,1,0,0,0.8244073748902546
6,18.61,7.2,1,0,1,0.6856528747984955
2,25.39,2.9,0,0,0,0.18274911382434034
1,18.64,0.87,1,0,1,0.08798283261802575
5,18.61,4.5,1,0,1,0.6211714132186996
8,20.45,5.0024,0,0,1,0.5281173594132029
2,1.9,0.3,1,1,1,0.07894736842105254
1,1.82,0.14,1,1,1,0.06593406593406603
1,1.78,0.4,1,1,1,0.0730337078651686
1,1.6,0.12,1,1,1,0.09375000000000011
1,1.47,0.41,1,1,1,0.08163265306122436
3,2.37,2.17,1,1,1,0.430379746835443
4,3.45,1.65,1,1,1,0.6086956521739131
5,1.5,1.5,1,1,1,0.16666666666666663
2,1.5,1.8,1,1,1,0.20000000000000007
1,1.47,1.1,1,1,1,0.18367346938775508
2,1.78,0.6,1,1,1,0.3258426966292135
2,1.5,0.87,1,1,1,0.2333333333333334
4,2.4,0.7,1,1,1,0.5208333333333334
2,1.4,3.5,1,1,1,0.1785714285714286
3,1.47,1.7,1,1,1,0.217687074829932
3,1.47,1.75,1,1,1,0.2448979591836734
5,1.47,3.3,1,1,1,0.2517006802721088
3,1.9,1.4,1,1,1,0.42105263157894735
3,1.47,2.6,1,1,1,0.2517006802721088
5,1.9,0.54,1,1,1,0.4473684210526315
2,1.26,0.57,1,1,1,0.16666666666666663
7,1.5,0.69,1,1,1,0.29999999999999993
2,1.17,0.6,1,1,1,0.10256410256410242
5,1.47,4.65,1,1,1,0.3197278911564626
6,1.75,1.15,1,1,1,0.4571428571428572
9,1.75,4.0,1,1,1,0.48571428571428565
1,0.95,0.13,1,1,1,0.05263157894736836
2,0.8,0.7,1,1,1,0.0625
1,0.87,0.3,1,1,1,0.08045977011494243
1,0.84,0.5,1,1,1,0.0714285714285714
1,0.87,1.1,1,1,1,0.13793103448275856
3,0.82,1.8,1,1,1,0.08536585365853655
1,0.95,0.35,1,1,1,0.21052631578947367
2,0.95,0.05,1,1,1,0.2421052631578947
1,0.81,1.18,1,1,1,0.19753086419753085
3,0.74,0.5,1,1,1,0.1216216216216216
4,1.2,2.35,1,1,1,0.45833333333333326
5,0.787,1.6,1,1,1,0.1740787801778907
