GrLivArea,BedroomAbvGr,KitchenAbvGr,OverallQual,SalePrice
1710,3,1,7,208500
1262,3,1,6,181500
1786,3,1,7,223500
1717,3,1,7,140000
2198,4,1,8,250000
1362,1,1,5,143000
1694,3,1,8,307000
2090,3,1,7,200000
1774,2,2,7,129900
1077,2,2,5,118000
2324,4,1,9,345000
912,2,1,5,144000
1494,3,1,7,279500
1253,2,1,6,157000
854,2,1,7,132000
1004,2,1,6,149000
1296,2,2,4,90000
1114,3,1,5,159000
1339,3,1,5,139000
2376,4,1,8,325300
1108,3,1,7,139400
1795,3,1,8,230000
1060,3,1,5,129900
1060,3,1,5,154000
1600,3,1,8,256300
900,3,1,5,134800
1704,3,1,8,306000
1600,2,1,5,207500
520,1,1,4,68500
1317,3,1,4,40000
1228,3,1,5,149350
1234,3,1,8,179900
1700,4,1,5,165500
1561,2,1,9,277500
2452,4,1,8,309000
1097,3,1,5,145000
1297,3,1,5,153000
1057,3,1,5,109000
1152,2,2,4,82000
1324,3,1,6,160000
1328,2,1,5,170000
884,2,1,5,144000
938,3,1,5,130250
1150,3,1,5,141000
1752,2,1,9,319900
2149,1,1,7,239686
1656,3,1,8,249700
1452,2,3,4,113000
955,3,1,5,127000
1470,3,1,6,177000
1176,3,1,6,114500
816,2,1,5,110000
1842,0,1,9,385000
1360,3,1,5,130000
1425,3,1,6,180500
1739,3,1,8,172500
1720,3,1,7,196500
2945,3,1,10,438780
780,2,1,5,124900
1158,3,1,6,158000
1111,3,1,5,101000
1370,2,1,8,202500
1710,3,1,7,140000
2034,3,1,7,219500
2473,4,1,8,317000
2207,3,1,7,180000
1479,3,1,7,226000
747,2,1,4,80000
2287,3,1,7,225000
2223,3,1,7,244000
845,2,1,4,129500
1718,3,1,7,185000
1086,3,1,5,144900
1605,3,2,3,107400
988,2,1,4,91000
952,2,1,4,135750
1285,2,1,5,127000
1768,4,2,4,136500
1230,2,1,5,110000
2142,4,1,6,193500
1337,2,1,6,153500
1563,3,1,8,245000
1065,3,1,5,126500
1474,3,1,7,168500
2417,4,1,8,260000
1560,3,1,6,174000
1224,2,1,6,164500
1526,2,1,3,85000
990,3,1,4,123600
1040,2,1,4,109900
1235,2,1,5,98600
964,2,1,5,163500
2291,4,2,6,133900
1786,3,1,6,204750
1470,3,1,6,185000
1588,3,1,7,214000
960,3,1,4,94750
835,2,1,5,83000
1225,3,1,4,128950
1610,3,1,6,205000
1732,3,1,6,178000
1535,4,2,5,118964
1226,3,1,7,198900
1818,4,1,7,169500
1992,3,1,8,250000
1047,2,1,4,100000
789,2,1,5,115000
1517,3,1,5,115000
1844,3,1,6,190000
1855,4,1,6,136900
1430,3,1,7,180000
2696,4,1,7,383970
2259,3,1,6,217000
2320,3,1,6,259500
1458,2,1,6,176000
1092,3,1,5,139000
1125,2,1,5,155000
3222,5,1,7,320000
1456,3,1,6,163990
988,1,1,6,180000
1123,3,1,4,100000
1080,3,1,6,136000
1199,2,1,6,153900
1586,3,1,6,181000
754,2,1,6,84500
958,2,1,6,128000
840,3,1,5,87000
1348,3,1,6,155000
1053,3,1,5,150000
2157,4,1,7,226000
2054,3,1,6,244000
1327,3,1,5,150750
1296,2,1,8,220000
1721,3,1,5,180000
1682,3,1,7,174000
1214,3,1,5,143000
1959,5,2,7,171000
1852,3,1,8,230000
1764,3,1,6,231500
864,3,1,4,115000
1734,3,1,7,260000
1385,4,1,5,166000
1501,3,1,7,204000
1728,6,2,5,125000
1709,3,1,6,130000
875,2,1,5,105000
2035,3,1,7,222500
1080,3,1,7,141000
1344,3,1,5,115000
969,3,1,5,122000
1710,2,1,8,372402
1993,4,1,6,190000
1252,1,1,6,235000
1200,4,1,6,125000
1096,2,1,6,79000
1040,2,1,5,109500
1968,4,1,8,269500
1947,3,1,7,254900
2462,4,1,7,320000
1232,3,1,6,162500
2668,3,1,9,412500
1541,3,1,7,220000
882,1,1,4,103200
1616,3,1,6,152000
1355,4,2,5,127500
1867,2,1,5,190000
2161,3,1,8,325624
1720,3,1,7,183500
1707,2,1,8,228000
1382,2,1,5,128500
1656,3,1,6,215000
1767,2,1,7,239000
1362,3,1,6,163000
1651,3,1,6,184000
2158,4,1,6,243000
2060,4,1,6,211000
1920,4,1,5,172500
2234,1,1,9,501837
968,2,1,5,100000
1525,3,1,6,177000
1802,4,1,7,200100
1340,3,1,5,120000
2082,3,1,7,200000
1252,3,1,5,127000
3608,4,1,10,475000
1217,3,1,7,173000
1656,3,1,5,135000
1224,2,2,5,153337
1593,0,1,8,286000
2727,3,1,8,315000
1479,4,1,7,184000
1431,3,1,7,192000
1709,3,1,7,130000
864,3,1,5,127000
1456,3,1,6,148500
1726,3,1,7,311872
3112,4,1,8,235000
2229,5,1,6,104000
1713,3,1,8,274900
1121,2,1,4,140000
1279,3,1,6,171500
1310,2,1,6,112000
848,1,1,6,149000
1284,2,1,5,110000
1442,3,1,7,180500
1696,3,1,5,143900
1100,3,1,4,141000
2062,3,1,7,277000
1092,3,1,6,145000
864,2,1,5,98000
1212,3,1,6,186000
1852,3,1,7,252678
990,3,1,5,156000
1392,3,1,6,161750
1236,2,1,5,134450
1436,3,1,7,210000
1328,3,1,4,107000
1954,3,1,7,311500
1248,2,1,7,167240
1498,2,1,7,204900
2267,4,1,6,200000
1552,3,1,6,179900
864,2,1,4,97000
2392,3,1,10,386250
1302,3,1,5,112000
2520,4,1,7,290000
987,2,1,6,106000
912,3,1,5,125000
1555,2,1,7,192500
1194,3,1,6,148000
2794,4,1,8,403000
987,2,1,6,94500
894,3,1,5,128200
1960,4,1,6,216500
987,2,1,6,89500
1414,3,1,7,185500
1744,3,1,7,194500
1694,3,1,8,318000
1487,3,1,6,113000
1566,3,1,8,262500
866,2,1,5,110500
1440,3,1,5,79000
1217,3,1,6,120000
2110,3,1,7,205000
1872,3,1,7,241500
1928,4,2,6,137000
1375,2,1,6,140000
1668,3,1,7,180000
2144,4,1,6,277000
1306,3,1,3,76500
1625,2,1,8,235000
1640,3,1,6,173000
1302,3,1,6,158000
1314,3,1,5,145000
2291,4,1,7,230000
1728,3,1,6,207500
1604,3,1,7,220000
1792,3,1,7,231500
882,2,1,5,97000
1382,3,1,6,176000
2574,3,1,8,276000
1212,3,1,6,151000
1316,3,1,5,130000
764,2,1,5,73000
1422,3,1,6,175500
1511,3,1,6,185000
2192,4,1,5,179500
778,2,1,5,120500
1113,3,1,6,148000
1939,3,1,8,266000
1363,2,1,7,241500
2270,4,1,8,290000
1632,3,1,6,139000
816,2,1,5,124500
1548,3,1,7,205000
1560,3,1,7,201000
864,2,1,4,141000
2121,3,1,9,415298
2022,4,1,7,192000
1982,3,1,7,228500
1262,2,1,6,185000
1314,2,1,7,207500
1468,3,1,8,244600
1575,2,1,6,179200
1250,2,1,7,164700
1734,3,1,6,159000
858,3,1,4,88000
900,3,1,5,122000
1396,3,1,6,153575
1919,3,1,8,233230
1716,6,1,5,135900
1716,3,1,5,131000
2263,3,1,7,235000
1644,3,1,6,167000
1003,3,1,6,142500
1558,4,1,5,152000
1950,3,1,7,239000
1743,3,1,6,175000
1152,3,1,6,158500
1336,2,1,5,157000
2452,4,1,8,267000
1541,3,1,7,205000
894,3,1,5,149900
3493,3,1,7,295000
2000,3,1,8,305900
2243,4,1,7,225000
1406,3,1,6,89500
861,1,1,4,82500
1944,3,1,9,360000
1501,3,1,6,165600
972,2,1,6,132000
1118,3,1,5,119900
2036,3,1,7,375000
1641,3,1,7,178000
1432,3,1,7,188500
2353,4,1,7,260000
1959,3,1,8,270000
2646,4,1,7,260000
1472,3,1,7,187500
2596,4,1,9,342643
2468,4,1,8,354000
2730,4,1,7,301000
1163,3,1,3,126175
2978,5,1,7,242000
803,2,1,5,87000
1719,1,1,8,324000
1383,3,1,6,145250
2134,5,1,6,214500
